OrganisationLabel,OrganisationURI,PublishedDate,DurationFrom,DurationTo,LatestData,ReportingPeriodType,GeoEntityName,GeoCode,GeoName,GeoURI,Year,CO2EmissionsTonnesPerPerson
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2017-01-01T00:00:00,2017-12-31T23:59:59,TRUE,Calendar Year,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,2017,5.2
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2017-01-01T00:00:00,2017-12-31T23:59:59,TRUE,Calendar Year,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,2017,4.6
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2017-01-01T00:00:00,2017-12-31T23:59:59,TRUE,Calendar Year,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,2017,5.2
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2017-01-01T00:00:00,2017-12-31T23:59:59,TRUE,Calendar Year,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,2017,3.5
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2017-01-01T00:00:00,2017-12-31T23:59:59,TRUE,Calendar Year,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,2017,5.2
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2017-01-01T00:00:00,2017-12-31T23:59:59,TRUE,Calendar Year,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,2017,5.4
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2017-01-01T00:00:00,2017-12-31T23:59:59,TRUE,Calendar Year,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,2017,6.2
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2017-01-01T00:00:00,2017-12-31T23:59:59,TRUE,Calendar Year,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,2017,5.7
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2016-01-01T00:00:00,2016-12-31T23:59:59,,Calendar Year,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,2016,5.4
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-06-27T00:00:00,2016-01-01T00:00:00,2016-12-31T23:59:59,,Calendar Year,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,2016,4.8
